m;b;a;n;k;1;,;j;p;g
;;;;;;;;;
0,227358218;0,025527017;0,000260856;2,30E-05;0,006541185;7,81764019;15,27887454;;;
;;;;;;;;;
0,228732406;0,013503741;0,000255939;0,000106649;0,009703693;15,51264884;60,16056849;;;+
;;;;;;;;;
0,1625;0,00140625;0;0;0,00625;5,046265044;6,366197724;;;
;;;;;;;;;
0,16;0;0;0;0,0064;5,641895835;7,957747155;;;
;;;;;;;;;
0,220376539;0,018977103;0,000892638;5,04E-05;0,007397179;16,39065416;67,16338598;;;
;;;;;;;;;
0,203125;0,015625;0;0;0,006408691;6,383076486;10,18591636;;;
;;;;;;;;;
0,441917304;0,168763221;0,000927853;0,000596411;0,006631921;10,64510777;28,32957987;;;
;;;;;;;;;
0,314919649;0,05795017;0,011487579;0,004248899;0,010306054;9,70668462;23,55493158;;;
;;;;;;;;;
0,302857414;0,065185038;0,000929819;0,000360677;0,006634394;9,507891863;22,60000192;;;
;;;;;;;;;
m;b;a;n;k;2;,;j;p;g
;;;;;;;;;
0,372148054;0,093795069;2,75E-06;0,000162652;0,011174776;40,44889139;409,0282037;;;
;;;;;;;;;
0,586055939;0,222370669;0,027584552;0,008551077;0,030272724;28,72384419;206,2648062;;;
;;;;;;;;;
0,1625;0,00140625;0;0;0,00625;5,046265044;6,366197724;;;
;;;;;;;;;
0,276988151;0,047639722;0,001421599;0,000453811;0,007270678;11,50725478;33,10422816;;;
;;;;;;;;;
0,227837097;0,024716555;1,76E-05;1,75E-06;0,006798297;18,47236309;85,3070495;;;
;;;;;;;;;
0,165320327;0,002452539;4,34E-05;1,14E-06;0,006219568;5,863230143;8,594366927;;;
;;;;;;;;;
0,177490234;0,005066931;0,000272739;8,06E-06;0,006608963;6,383076486;10,18591636;;;
;;;;;;;;;
0,161831171;0,001634575;0,000123277;1,56E-06;0,006138688;4,918490759;6,047887837;;;
;;;;;;;;;
0,159722222;0,00236304;0;0;0,005787037;3,908820095;3,819718634;;;
;;;;;;;;;
0,177404207;0,006166604;0,000317755;1,48E-05;0,006326412;5,292567428;7,002817496;;;
;;;;;;;;;
0,15625;0;0;0;0,006103516;4,513516668;5,092958179;;;
;;;;;;;;;
0,15625;0;0;0;0,006103516;4,513516668;5,092958179;;;
;;;;;;;;;
0,206077767;0,014313859;0,000826431;3,58E-05;0,007038547;10,46415791;27,37465021;;;
;;;;;;;;;
0,3875;0,120078125;0;0;0,007519531;10,09253009;25,46479089;;;
;;;;;;;;;
0,15625;0;0;0;0,006103516;4,513516668;5,092958179;;;
;;;;;;;;;
0,192472565;0,010055392;0,000343942;2,34E-05;0,006747574;6,770275003;11,4591559;;;
;;;;;;;;;
0,15625;0;0;0;0,006103516;4,513516668;5,092958179;;;
;;;;;;;;;
0,231200162;0,016421549;0,000403995;0,000130393;0,009257991;14,88434348;55,3859202;;;+
;;;;;;;;;
0,298323661;0,001094761;0,017184156;0,000269534;0,021975561;20,86738901;108,8619811;;;
;;;;;;;;;
0,203125;0,015625;0;0;0,006408691;6,383076486;10,18591636;;;
;;;;;;;;;
0,159722222;0,00236304;0;0;0,005787037;3,908820095;3,819718634;;;
;;;;;;;;;
0,1625;0,00140625;0;0;0,00625;5,046265044;6,366197724;;;
;;;;;;;;;
0,159722222;0,00236304;0;0;0,005787037;3,908820095;3,819718634;;;
;;;;;;;;;
0,222222222;0,049382716;0;0;0;1,954410048;0,954929659;;;
;;;;;;;;;
m;b;a;n;k;3;,;j;p;g
;;;;;;;;;
1,731531852;2,976516341;0,124738641;0,119132059;0,005421553;9,772050238;23,87324146;;;
;;;;;;;;;
0,227617933;0,013821481;0,000297394;8,56E-05;0,009497111;19,89918336;98,9943746;;;+
;;;;;;;;;
0,384259259;0,127079047;0;0;0,005144033;4,787307365;5,729577951;;;
;;;;;;;;;
0,162753569;0,001780712;5,55E-05;1,96E-06;0,006177003;5,292567428;7,002817496;;;
;;;;;;;;;
0,539800464;0,238129014;0,005551959;0,000973642;0,013313882;15,59451035;60,79718826;;;
;;;;;;;;;
0,527633102;0,25742069;0,001284309;0,000689836;0,005244;5,527906392;7,639437268;;;
;;;;;;;;;
0,1625;0,00140625;0;0;0,00625;5,046265044;6,366197724;;;
;;;;;;;;;
0,315868105;0,067673373;0,000863995;9,17E-05;0,008024822;19,28175166;92,94648677;;;
;;;;;;;;;
0,15625;0;0;0;0,006103516;4,513516668;5,092958179;;;
;;;;;;;;;
max;;;;;;;;;
0,231200162;0,016421549;0,000403995;0,000130393;0,009703693;19,89918336;98,9943746;;;
min;;;;;;;;;
0,227617933;0,013503741;0,000255939;8,56077E-05;0,009257991;14,88434348;55,3859202;;;
std;;;;;;;;;
0,001833223;0,001600777;7,63795E-05;2,24063E-05;0,000223049;2,732064902;23,91846936;;;
