m;b;a;n;k;1;,;j;p;g
;;;;;;;;;
0,26836936;0,035325074;0,001203525;0,000181047;0,00917426;18,94870844;89,7633879;;;
;;;;;;;;;
0,162037037;0;0;0;0,006564;6,770275003;11,4591559;;;
;;;;;;;;;
0,281156045;0,025571622;0,000861178;0,000191876;0,013369275;11,94164264;35,65070725;;;+
;;;;;;;;;
0,173611111;0,004822531;0;0;0,006329572;5,527906392;7,639437268;;;
;;;;;;;;;
0,169804664;0,001916493;0,000202736;9,31E-06;0,006729283;13,39876023;44,88169395;;;
;;;;;;;;;
m;b;a;n;k;2;,;j;p;g
;;;;;;;;;
0,3125;0,09765625;0;0;0;2,256758334;1,273239545;;;
;;;;;;;;;
0,152777778;0,004822531;0;0;0,00462963;2,763953196;1,909859317;;;
;;;;;;;;;
0,125;0;0;0;0,00390625;2,256758334;1,273239545;;;
;;;;;;;;;
0,148148148;0;0;0;0,005486968;3,385137501;2,864788976;;;
;;;;;;;;;
0,177514793;0,009103323;0;0;0,005602045;4,068428945;4,13802852;;;
;;;;;;;;;
0,15234375;0,001235962;0,000482798;2,15E-06;0,005493164;3,191538243;2,546479089;;;
;;;;;;;;;
0,148148148;0;0;0;0,005486968;3,385137501;2,864788976;;;
;;;;;;;;;
0,177777778;0,007901235;0;0;0,005925926;4,370193722;4,774648293;;;
;;;;;;;;;
0,148148148;0;0;0;0,005486968;3,385137501;2,864788976;;;
;;;;;;;;;
0,160781367;0,002901396;0,000303671;8,09E-06;0,005737313;3,742410319;3,501408748;;;
;;;;;;;;;
0,15234375;0,001235962;0,000482798;2,15E-06;0,005493164;3,191538243;2,546479089;;;
;;;;;;;;;
0,148148148;0;0;0;0,005486968;3,385137501;2,864788976;;;
;;;;;;;;;
0,444995221;0,172439828;0,000146442;0,000108733;0,00639523;8,519075892;18,14366351;;;
;;;;;;;;;
0,174330735;0,003090449;4,14E-05;1,54E-06;0,006825189;19,38054864;93,90141642;;;
;;;;;;;;;
0,1875;0,015625;0;0;0,004882813;3,191538243;2,546479089;;;
;;;;;;;;;
0,159722222;0,00236304;0;0;0,005787037;3,908820095;3,819718634;;;
;;;;;;;;;
0,321995913;0,070245758;0,002542982;0,000789344;0,008358903;24,84997342;154,3802948;;;
;;;;;;;;;
0,227758288;0,024486763;0,000700279;0,00010242;0,006846769;12,15301556;36,9239468;;;
;;;;;;;;;
0,241867795;0,013477715;0,000174877;0,000102684;0,011255579;16,27371578;66,20845633;;;+
;;;;;;;;;
0,333967458;0,083831875;0,000213466;9,34E-05;0,006925597;10,1554125;25,78310078;;;
;;;;;;;;;
0,1888;0,01124352;7,11E-05;1,01E-05;0,00610048;5,641895835;7,957747155;;;
;;;;;;;;;
1,014993792;1,002978845;0,011452066;0,010502884;0,006808388;19,34767237;93,58310654;;;
;;;;;;;;;
0,205309444;0,017352171;7,02E-05;9,30E-06;0,006199949;5,41151638;7,321127382;;;
;;;;;;;;;
0,266970204;0,044781877;0,000379162;7,77E-05;0,006622803;7,39927702;13,68732511;;;
;;;;;;;;;
0,330074074;0,081111577;1,79E-06;3,31E-07;0,006959329;7,569397566;14,32394488;;;
;;;;;;;;;
0,160781367;0,002901396;0,000303671;8,09E-06;0,005737313;3,742410319;3,501408748;;;
;;;;;;;;;
m;b;a;n;k;3;,;j;p;g
;;;;;;;;;
0,243925337;0,010615665;0,000240422;0,00012028;0,012220976;19,64157789;96,44789551;;;+
;;;;;;;;;
0,165509259;0,000387142;0;0;0,006751543;9,57461473;22,91831181;;;
;;;;;;;;;
0,168479919;0,001475342;2,13E-05;1,94E-06;0,006727535;9,027033337;20,37183272;;;
;;;;;;;;;
0,65625;0,430664063;0;0;0;3,191538243;2,546479089;;;
;;;;;;;;;
0,376068376;0,116882168;0;0;0,006136314;7,04672564;12,41408556;;;
;;;;;;;;;
0,297128;0,059292383;0,000189002;1,97E-05;0,007248166;7,978845608;15,91549431;;;
;;;;;;;;;
0,170027535;0,003163917;4,31E-05;2,52E-06;0,006436361;7,312732791;13,36901522;;;
;;;;;;;;;
0,222222222;0,049382716;0;0;0;1,954410048;0,954929659;;;
;;;;;;;;;
0,152777778;0,004822531;0;0;0,00462963;2,763953196;1,909859317;;;
;;;;;;;;;
0,15234375;0,001235962;0,000482798;2,15E-06;0,005493164;3,191538243;2,546479089;;;
;;;;;;;;;
;;;;;;;;;
max;;;;;;;;;
0,281156045;0,025571622;0,000861178;0,000191876;0,013369275;19,64157789;96,44789551;;;
min;;;;;;;;;
0,241867795;0,010615665;0,000174877;0,000102684;0,011255579;11,94164264;35,65070725;;;
std;;;;;;;;;
0,022113064;0,007938667;0,000378735;4,72416E-05;0,001058166;3,860016315;30,39873301;;;
